HEADER,conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT,conceptType,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,problem-solving with digital tools,released,,,problem-solving with digital tools | resolving issues with ICT tools and hardware | finding solutions with ICT tools and hardware | ICT tools and hardware problem solving | problem-solving with information and communication technologies tools and hardware | problem-solve with ICT tools and hardware | problem-solving with ICT hardware and tools,"Identify digital needs and resources, make informed decisions on most appropriate digital tools according to the purpose or need, solve conceptual problems through digital means, creatively use technologies, solve technical problems, update own and other's competence.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,using digital tools for collaboration and productivity,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97c1895a-a890-47da-abfc-79dc272add2e,use online conventions of netiquette,released,skill/competence,cross-sector,observe netiquette | use online conventions of netiquette | able to use online conventions of netiquette | apply online conventions of netiquette | make use of online conventions of netiquette | utilise online conventions of netiquette | using online conventions of netiquette,Apply behavioural norms and know-how while using digital technologies and interacting in digital environments. Adapt communication strategies to the specific audience and be aware of cultural and generational diversity in digital environments.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digital communication and collaboration,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interact through digital technologies,released,skill/competence,cross-sector,use e-mail software and services | utilise online communication tools | able to use online communication tools | using online communication tools | communicate on-line | make use of online communication tools | interact through digital technologies | apply online communication tools | communicate in digital environments | use online communication tools | interact through ICT,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,copyright and licenses related to digital content,released,knowledge,cross-sector,copyright and licenses related to digital content,"Understand how copyright and licences apply to data, information and digital content.",http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,audio-visual techniques and media production | digital content creation,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,manage digital identity,released,skill/competence,cross-sector,protecting privacy and identity on the Internet | manage digital identity,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services.",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,working with digital devices and applications | digital communication and collaboration,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,protect the environment from the impact of the digital technologies,released,skill/competence,cross-sector,protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6 | http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,complying with environmental protection laws and standards | evaluate environmental impact of personal behaviour | ICT safety,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,protect health and well-being while using digital technologies,released,skill/competence,cross-sector,protect health and well-being while using digital technologies,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,ICT safety | complying with health and safety procedures,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,protect ICT devices,released,skill/competence,cross-sector,take care of ICT devices | MailWasher Pro | use anti-virus software | protect ICT devices | Honeywell Managed Access Control | keep ICT devices safe | Tyco Integrated Security Managed Access Control | AVG Anti-Virus | Zone Alarm Firewall | protect information and communication technologies devices | Kingsoft Antivirus | set up passwords and private settings | Bitdefender Antivirus | AVS Firewall | protect personal data | AddTech Controls | IDenticard Systems PremiSys | ESET NOD32 Antivirus | protect ICT device | Agnitum Outpost Firewall | up-date online security measures | SPAMfighter | CleanMail Home | Norton Security Deluxe | Matrix Systems Access Control | implement SPAM-ware | Kaspersky Anti-Virus | McAfee AntiVirus | safeguard ICT devices | implement private ICT user security measures | ADT Access Control | Cloudmark DesktopOne Pro,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam filters.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,protecting ict devices | ICT safety,KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"browse, search and filter data, information and digital content",released,skill/competence,cross-sector,"browse, search and filter data, information and digital content","Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"digital data processing | browsing, searching and filtering digital data",KnowledgeSkillCompetence,
DigCompSkill,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,digital content creation,released,,,content created by ICT software | ICT software content-creation | content creation with ICT software | digital content creation | content-creation with ICT program | content-creation with ICT softwares,"Create and edit new content (from word processing to images and video); integrate and re-elaborate previous knowledge and content; produce creative expressions, media outputs and programming; deal with and apply intellectual property rights and licences.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,using digital tools for collaboration and productivity,KnowledgeSkillCompetence,
